 Fiesta,2017,12000,Automatic,15944,Petrol,150,57.7,1.0
 Focus,2018,14000,Manual,9083,Petrol,150,57.7,1.0
 Focus,2017,13000,Manual,12456,Petrol,150,57.7,1.0
 Fiesta,2019,17500,Manual,10460,Petrol,145,40.3,1.5
 Fiesta,2019,16500,Automatic,1482,Petrol,145,48.7,1.0
 Fiesta,2015,10500,Manual,35432,Petrol,145,47.9,1.6
 Puma,2019,22500,Manual,2029,Petrol,145,50.4,1.0
 Fiesta,2017,9000,Manual,13054,Petrol,145,54.3,1.2
 Kuga,2019,25500,Automatic,6894,Diesel,145,42.2,2.0
 Focus,2018,10000,Manual,48141,Petrol,145,61.4,1.0
 Fiesta,2018,11561,Manual,18803,Petrol,145,56.5,1.0
 EcoSport,2018,13500,Manual,12065,Petrol,145,54.3,1.0
 Fiesta,2017,11000,Manual,20978,Petrol,0,65.7,1.0
 Kuga,2018,17999,Semi-Auto,9002,Diesel,145,54.3,2.0
 Kuga,2018,18999,Semi-Auto,8970,Diesel,145,58.9,1.5
 Kuga,2018,14399,Manual,12810,Diesel,145,64.2,1.5
 Kuga,2019,17999,Manual,10428,Diesel,145,38.2,2.0
 Kuga,2018,16899,Manual,14680,Diesel,145,54.3,2.0
 Fiesta,2017,10999,Manual,12427,Petrol,20,62.8,1.0
 Fiesta,2019,12500,Manual,25521,Petrol,145,55.4,1.0
 Fiesta,2018,9499,Manual,20400,Petrol,145,55.4,1.1
 Fiesta,2017,10500,Manual,24926,Petrol,145,65.7,1.0
 Fiesta,2017,8995,Manual,26163,Petrol,145,65.7,1.0
 Kuga,2014,8995,Manual,59000,Diesel,160,47.9,2.0
 Fiesta,2014,6795,Manual,35299,Petrol,0,65.7,1.0
 Focus,2017,18499,Manual,13063,Petrol,145,41.5,2.0
 C-MAX,2018,11799,Manual,23800,Diesel,145,68.9,1.5
 Fiesta,2015,8299,Manual,25935,Petrol,0,65.7,1.0
 Fiesta,2018,12499,Manual,8700,Petrol,145,58.9,1.0
 Fiesta,2017,8699,Manual,25000,Petrol,125,54.3,1.2
 Fiesta,2016,7999,Manual,60730,Diesel,0,78.5,1.5
 Fiesta,2017,8991,Manual,18561,Petrol,145,54.3,1.2
 Focus,2019,18990,Manual,8400,Petrol,145,60.1,1.0
 Fiesta,2013,7236,Manual,39090,Petrol,0,65.7,1.0
 Kuga,2018,15287,Semi-Auto,33149,Diesel,145,58.9,1.5
 Mondeo,2019,20000,Manual,24,Diesel,145,65.7,2.0
 EcoSport,2020,20000,Manual,558,Petrol,145,53.3,1.0
 Kuga,2019,21378,Manual,3259,Diesel,145,39.2,2.0
 Fiesta,2018,9814,Manual,15100,Petrol,145,65.7,1.0
 Ka+,2018,8261,Manual,25000,Petrol,145,57.7,1.2
 Fiesta,2017,8788,Manual,15612,Petrol,145,65.7,1.0
 Fiesta,2018,12251,Manual,8920,Petrol,145,58.9,1.0
 Kuga,2017,16320,Manual,24803,Diesel,145,60.1,2.0
 Fiesta,2019,13140,Manual,7,Petrol,145,48.7,1.1
